community,DK_intercept,DK_coef,DK_se,max_dist_BHHban,BC_movements_shortTerm,BC_movements_permanent
Cendana,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
KampungBaru,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
KarangSiri,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Kobekamusa,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
KotaBaru,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Kuatae,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Noemeto,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Nonohonis,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Nunumeu,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Oebesa,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Oekefan,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Soe,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Taubneno,1.6567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
